"Designator","Comment","Footprint","Datasheet","Manufacturer","Digikey Part #"
"C1","10uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C2","10uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C3","10uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C4","4.7uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C5","100nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C6","100nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C7","100nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C8","100nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C9","1uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C10","100nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C11","10nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C12","30pF","Capacitor_SMD:C_0603_1608Metric","~","",""
"C13","30pF","Capacitor_SMD:C_0603_1608Metric","~","",""
"D1","POWER_LED","LED_SMD:LED_0603_1608Metric","~","",""
"D2","STATUS_LED","LED_SMD:LED_0603_1608Metric","~","",""
"H1","~","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","",""
"H2","~","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","",""
"H3","~","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","",""
"H4","~","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","",""
"J1","USB_B_Micro","Connector_USB:USB_Micro-B_GCT_USB3076-30-A","~","",""
"J2","4P Screw Terminal","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~","",""
"J3","10P JTAG/SWD","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~","",""
"J4","LCD","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~","",""
"J5","I2C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"J6","BOOT_SEL","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"J7","TEMP0","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","",""
"J8","TEMP1","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","",""
"J9","TEMP2","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","",""
"J10","TEMP3","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","",""
"J11","TEC_A","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","",""
"J12","TEC_B","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","",""
"J13","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J14","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J15","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J16","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J17","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J18","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J19","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J20","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J21","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J22","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J23","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J24","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J25","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J26","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J27","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"J28","XH2.54","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","",""
"R1","2K","Resistor_SMD:R_1206_3216Metric","~","",""
"R2","2K","Resistor_SMD:R_1206_3216Metric","~","",""
"R3","100","Resistor_SMD:R_0402_1005Metric","~","",""
"R4","100","Resistor_SMD:R_0402_1005Metric","~","",""
"R5","100","Resistor_SMD:R_0402_1005Metric","~","",""
"R6","2K","Resistor_SMD:R_1206_3216Metric","~","",""
"R7","2K","Resistor_SMD:R_1206_3216Metric","~","",""
"R8","100","Resistor_SMD:R_0402_1005Metric","~","",""
"R9","100","Resistor_SMD:R_0402_1005Metric","~","",""
"R10","100","Resistor_SMD:R_0402_1005Metric","~","",""
"R11","2.2K","Resistor_SMD:R_0402_1005Metric","~","",""
"R12","2.2K","Resistor_SMD:R_0402_1005Metric","~","",""
"RV1","10K","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","~","",""
"U1","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","",""
"U2","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","",""
"U3","DMC3021LK4","Package_TO_SOT_SMD:TO-252-4","","",""
"U4","DMC3021LK4","Package_TO_SOT_SMD:TO-252-4","","",""
"U5","EL357N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","","",""
"U6","EL357N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","","",""
"U7","DMC3021LK4","Package_TO_SOT_SMD:TO-252-4","","",""
"U8","DMC3021LK4","Package_TO_SOT_SMD:TO-252-4","","",""
"U9","EL357N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","","",""
"U10","EL357N","Package_SO:SOP-4_3.8x4.1mm_P2.54mm","","",""
"U11","STM32F103C8T6","Package_QFP:LQFP-48_7x7mm_P0.5mm","","",""
"Y1","16MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","",""
